eco60  omega = 0.8475
eco59  omega = 0.8450
eco58  omega = 0.8425
eco57  omega = 0.8400
eco56  omega = 0.8375
eco55  omega = 0.8350
eco54  omega = 0.8325
eco53  omega = 0.8300
eco52  omega = 0.8275
eco51  omega = 0.8250
eco50  omega = 0.8225
eco49  omega = 0.8200
eco48  omega = 0.8175
eco47  omega = 0.8150
eco46  omega = 0.8125
eco45  omega = 0.8100
eco44  omega = 0.8075
eco43  omega = 0.8050
eco42  omega = 0.8025
eco41  omega = 0.8000
eco40  omega = 0.8675
eco39  omega = 0.8650
eco38  omega = 0.8625
eco37  omega = 0.8600
eco36  omega = 0.8575
eco35  omega = 0.8550
eco34  omega = 0.8525
eco33  omega = 0.88875
eco32  omega = 0.8875
eco31  omega = 0.8850
eco30  omega = 0.8825
eco29  omega = 0.8800
eco28  omega = 0.87875
eco27  omega = 0.8775
eco26  omega = 0.8750
eco25  omega = 0.8725
eco24  omega = 0.92875
eco23  omega = 0.9275
eco22  omega = 0.9225
eco21  omega = 0.91875
eco20  omega = 0.9175 
eco19  omega = 0.9125
eco18  omega = 0.90875
eco17  omega = 0.89875
eco16  omega = 0.8975
eco15  omega = 0.8950
eco14  omega = 0.8925
eco13  omega = 0.925
eco12  omega = 0.92
eco11  omega = 0.915
eco10  omega = 0.9075
eco9   omega = 0.9050
eco8   omega = 0.9025
eco7   omega = 0.87
eco6   omega = 0.93
eco5   omega = 0.89
eco4   omega = 0.91
eco3   omega = 0.85
eco2   omega = 0.90
